ORDER_DAY_KEY,ORGANIZATION_KEY,EMPLOYEE_KEY,RETAILER_KEY,RETAILER_SITE_KEY,PRODUCT_KEY,PROMOTION_KEY,ORDER_METHOD_KEY,SALES_ORDER_KEY,SHIP_DAY_KEY,CLOSE_DAY_KEY,QUANTITY,UNIT_COST,UNIT_PRICE,UNIT_SALE_PRICE,GROSS_MARGIN,SALE_TOTAL,GROSS_PROFIT,CC_NUMBER
20100112,11101,4001,6737,5185,30126,5501,602,194778,20100119,20100119,587,34.9,76.86,71.48,0.5118,41958.76,21472.46,4309163290338340
20100112,11101,4001,6737,5185,30128,5501,602,194779,20100119,20100119,214,91.8,180.63,167.99,0.4535,35949.86,16304.66,4123627725503220
20100112,11101,4001,6737,5185,30132,5501,602,194777,20100119,20100119,576,2.67,10.71,10.28,0.7403,5921.28,4383.36,4380283345697970
20100112,11101,4001,6986,5465,30100,5501,606,194768,20100119,20100119,129,56.23,96.44,89.69,0.3731,11570.01,4316.34,4771260404970120
20100112,11101,4001,6986,5465,30103,5501,606,194770,20100119,20100119,1776,1.86,6,5.7,0.6737,10123.2,6819.84,4471580410540950
20100112,11101,4001,6986,5465,30110,5501,606,194771,20100119,20100119,1822,1.79,5,4.75,0.6232,8654.5,5393.12,4394630204926040
20100112,11101,4001,6986,5465,30113,5501,606,194769,20100119,20100119,412,9.1,23,22.31,0.5921,9191.72,5442.52,4889641184894420
20100112,11101,4001,6986,5465,30122,5501,606,194767,20100119,20100119,67,690,1271.08,1182.1,0.4163,79200.7,32970.7,4927914761241350
20100112,11101,4003,6701,5166,30027,5501,604,195307,20100119,20100119,97,238.88,460.52,428.28,0.4422,41543.16,18371.8,4524154876848180
20100112,11101,4003,6825,5193,30002,5502,602,195119,20100119,20100119,1172,6.62,12.53,8.77,0.2452,10278.44,2519.8,4818049543256590
20100112,11101,4003,6825,5193,30005,5501,602,195114,20100119,20100119,591,34.97,54.93,52.18,0.3298,30838.38,10171.11,4642150084095210
20100112,11101,4003,6825,5193,30006,5501,602,195101,20100119,20100119,338,85.11,129.72,120.64,0.2945,40776.32,12009.14,4046993382604890
20100112,11101,4003,6825,5193,30014,5501,602,195110,20100119,20100119,97,426,677.03,629.64,0.3234,61075.08,19753.08,4765269967952390
20100112,11101,4003,6825,5193,30018,5501,602,195108,20100119,20100119,364,86,146.83,136.55,0.3702,49704.2,18400.2,4900868062278400
20100112,11101,4003,6825,5193,30023,5501,602,195109,20100119,20100119,234,65.25,104.48,97.17,0.3285,22737.78,7469.28,4703234360758560
20100112,11101,4003,6825,5193,30028,5501,602,195107,20100119,20100119,603,16,33.59,32.25,0.5039,19446.75,9798.75,4386979473277010
20100112,11101,4003,6825,5193,30033,5501,602,195115,20100119,20100119,232,18,29.44,28.56,0.3697,6625.92,2449.92,4668848157914210
